ID,SNM,STYP,FND,RGN,USC,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
122,대동대학교,전문대학,사립,부산,C그룹,62.9056215829726,63.74018451851856,63.28664396825405,63.969066899470974,63.786539926887954,63.78073,63.779266
123,대림대학교,전문대학,사립,경기,A그룹,63.01815797691199,61.52861863564222,61.07823398484858,61.06256350865811,62.46942718326125,62.45872,62.46048
124,대신대학교,대학,사립,경북,C그룹,66.09655282533403,66.24444594702716,66.38616633814331,66.61391092833088,63.334510906204855,63.33859,63.36014
125,대원대학교,전문대학,사립,충북,C그룹,64.92051565945168,64.11391715151518,63.78314077777785,63.52896746031752,59.16595389682538,59.2471,59.168255
126,대전가톨릭대학교,대학,사립,세종,C그룹,65.49104759163059,65.54544835353533,65.47428192496393,65.80427963924964,65.18363653102453,65.18536,65.18326
127,대전과학기술대학교,전문대학,사립,대전,B그룹,66.85115127200577,66.59004841486292,66.83071414790766,66.4362938311688,65.98843058417505,66.0151,66.01488
128,대전대학교,대학,사립,대전,B그룹,67.1583663583378,66.9815069900283,66.09437419951811,66.52493072211576,65.37620604377976,65.37524,65.37158
129,대전보건대학교,전문대학,사립,대전,A그룹,65.45307832756131,65.51619615151513,64.39391341269847,63.71755160317467,63.30247774603173,63.324654,63.323845
130,대전신학대학교,대학,사립,대전,C그룹,64.66196574603171,64.14051333333329,64.99382014285712,64.89929476190471,64.09928090476186,64.098305,64.09719
131,대진대학교,대학,사립,경기,B그룹,67.46952181152177,67.42479248973248,63.694842450422165,66.4922746718651,66.74094026433042,66.75058,66.76389
132,대한신학대학원대학교,대학원대학,사립,경기,-,64.4015913860029,64.44236305266958,64.84853948124099,62.09714866666665,62.165413349206325,62.15875,62.15937
133,덕성여자대학교,대학,사립,서울,B그룹,65.099108788679,66.46031131466681,66.83103080200559,66.91283598310224,63.240831563103534,63.26424,63.262856
134,동강대학교,전문대학,사립,광주,B그룹,64.004016015873,64.62058980423281,63.70020920634922,64.73260316738813,64.75232535786432,64.74062,64.74989
135,동국대학교,대학,사립,서울,A그룹,70.81174573106476,70.41808005636712,69.54844336688014,69.61769739316834,67.44493657390508,67.405525,67.39207
136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,66.96545992084062,66.74060789282943,67.18112482792904,67.08781953143993,64.13519425927345,64.12548,64.12415
137,동남보건대학교,전문대학,사립,경기,A그룹,63.22880201587306,62.1500182857143,62.17631114285718,61.52766095238096,63.24288285714284,63.249973,63.25277
138,동덕여자대학교,대학,사립,서울,B그룹,66.73441556872865,66.77444300447699,66.33644308319654,66.75134321443372,65.78318576854626,65.754814,65.76474
139,동명대학교,대학,사립,부산,B그룹,66.69122655250301,66.64042747866948,65.88177308113573,65.97464507697326,65.74586790381309,65.76486,65.75924
140,동방문화대학원대학교,대학원대학,사립,서울,-,66.42037816209718,66.38183002062028,66.12509189225592,66.17398625733527,66.41152636982663,66.39593,66.397896
141,동부산대학교,전문대학,사립,부산,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,66.26660986147188,66.26012,66.25833
142,동서대학교,대학,사립,부산,B그룹,67.28648038509155,67.056845435345,66.44262219498347,65.44270509394784,63.34329742276472,63.369286,63.399506
143,동서울대학교,전문대학,사립,경기,A그룹,64.29974461904767,64.33665223809527,63.77484906349212,63.58048125396831,64.09349317460321,64.089615,64.08856
144,동신대학교,대학,사립,전남,B그룹,66.61341550721498,66.6059661998557,66.88975776190473,66.99795025589219,66.81539029797976,66.81859,66.815315
145,동아대학교,대학,사립,부산,A그룹,68.08345839739607,68.17168699236996,68.58652160772907,69.0550593552159,67.9143843780664,67.86335,67.87555
