연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(당해년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2015,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,9,10,19,445,340,785,12,0,0,0,12,4185,0,0,0,785,0,785,19,0,785,44,17.799999237060547,785,785,0.0
2015,79,국립창원대학교,대학,국립,경남,B그룹,226191,57291,283482,456791,137930,594721,14,11,31668,0,25,41045,704,255,959,15116,3903,19019,12454,23265,594721,10353,57.400001525878906,19019,594721,3.299999952316284
2015,80,국립한국교통대학교,대학,국립,충북,B그룹,205558,40605,246163,513590,63555,577145,14,2,5875,0,16,51186,79,27,106,13987,1520,15507,9465,0,577145,9884,58.400001525878906,15507,577145,2.799999952316284
2015,81,국립한국해양대학교,대학,국립,부산,B그룹,155099,87841,242940,354014,139683,493697,9,11,10529,0,20,42403,296,88,384,5919,8165,14084,9654,0,493697,7870,62.70000076293945,14084,493697,2.9000000953674316
2015,82,국립한밭대학교,대학,국립,대전,B그룹,218809,59235,278044,440043,81100,521143,8,0,2350,0,8,29851,338,89,427,14355,1440,15795,8809,0,521143,9037,57.70000076293945,15795,521143,3.0999999046325684
2015,83,국민대학교,대학,사립,서울,A그룹,374647,139413,514060,895731,222858,1118589,24,41,46695,0,65,79090,1184,305,1489,22428,4614,27042,16979,442,1118589,18578,60.20000076293945,27042,1118589,2.5
2015,84,국방대학교,기타,기타,충남,-,148182,65791,213973,259209,79550,338759,0,11,9572,0,11,9625,429,183,612,5489,3934,9423,6259,0,338759,0,0.0,9423,338759,2.9000000953674316
2015,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,14725,529,15254,17556,529,18085,0,1,0,0,1,0,18,1,19,18,300,318,58,0,18085,233,77.5999984741211,318,18085,1.7999999523162842
2015,86,국제대학교,전문대학,사립,경기,B그룹,29579,1038,30617,51273,1057,52330,4,3,17092,0,7,30791,86,0,86,2291,809,3100,2553,0,52330,4458,11.699999809265137,3100,52330,6.300000190734863
2015,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2015,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,1283,2703,3986,2252,4837,7089,1,0,0,0,1,0,0,0,0,0,100,100,100,11,7089,87,81.5,100,7089,1.399999976158142
2015,89,국제사이버대학교,대학,사립,경기,C그룹,0,0,0,9390,0,9390,0,0,9390,0,0,9390,0,0,0,0,0,0,0,0,9390,2384,3.9000000953674316,0,9390,0.0
2015,90,국제언어대학원대학교,대학원대학,사립,서울,-,2512,8990,11502,3094,12273,15367,1,0,107,0,1,128,17,36,53,294,82,376,362,1275,15367,90,170.6999969482422,376,15367,2.5
2015,91,국제예술대학교,기타,기타,서울,-,5,1,6,1001,26,1027,0,0,0,0,0,0,0,0,0,26,25,51,4,26,1027,0,0.0,51,1027,5.199999809265137
2015,92,군산간호대학교,전문대학,사립,전북,C그룹,26976,1017,27993,31423,2129,33552,0,2,2167,0,2,2777,35,0,35,1147,683,1830,1214,561,33552,1153,29.100000381469727,1830,33552,5.800000190734863
2015,93,군장대학교,전문대학,사립,전북,C그룹,42458,161,42619,75308,217,75525,2,0,17270,0,2,21184,23,1,24,11695,15,11710,1212,0,75525,2122,35.599998474121094,11710,75525,18.299999237060547
2015,94,극동대학교,대학,사립,충북,C그룹,48564,26133,74697,76131,32515,108646,1,1,12269,0,2,14199,205,14,219,9786,0,9786,8186,0,108646,4332,25.100000381469727,9786,108646,9.899999618530273
2015,95,글로벌사이버대학교,대학,사립,충남,C그룹,426,0,426,1368,0,1368,0,2,374,0,2,1179,0,0,0,0,39,39,33,0,1368,2222,0.6000000238418579,39,1368,2.9000000953674316
2015,96,금강대학교,대학,사립,충남,C그룹,43397,22938,66335,73973,35050,109023,0,3,1509,0,3,1509,70,11,81,627,1707,2334,2334,0,109023,525,207.6999969482422,2334,109023,2.200000047683716
2015,97,기독간호대학교,전문대학,사립,광주,C그룹,17167,4164,21331,25151,4916,30067,0,3,97,0,3,97,43,0,43,330,133,463,463,0,30067,655,45.900001525878906,463,30067,1.600000023841858
2015,98,김천대학교,대학,사립,경북,C그룹,75515,2816,78331,93303,3794,97097,2,2,5865,0,4,9487,122,2,124,8599,1615,10214,8068,3,97097,3801,25.5,10214,97097,11.800000190734863
2015,99,김포대학교,전문대학,사립,경기,C그룹,58121,2598,60719,99161,2955,102116,3,0,7913,0,3,11899,107,11,118,5319,332,5651,3119,0,102116,3371,30.299999237060547,5651,102116,5.900000095367432
2015,100,김해대학교,전문대학,사립,경남,C그룹,14950,35,14985,16952,37,16989,1,0,0,0,1,1837,26,0,26,2130,251,2381,2368,0,16989,1520,11.199999809265137,2381,16989,16.299999237060547
2015,101,나사렛대학교,대학,사립,충남,B그룹,136842,50192,187034,206388,56539,262927,5,5,43024,0,10,63670,165,71,236,9896,487,10383,6112,0,262927,6034,43.599998474121094,10383,262927,4.099999904632568
2015,102,나주대학교,전문대학,사립,전남,C그룹,9008,10,9018,23799,10,23809,0,0,0,0,0,0,118,0,118,320,615,935,522,0,23809,2117,11.199999809265137,935,23809,4.099999904632568
2015,103,남부대학교,대학,사립,광주,C그룹,65837,823,66660,67689,885,68574,4,4,3788,0,8,9927,228,3,231,2328,411,2739,2089,0,68574,3551,19.299999237060547,2739,68574,4.199999809265137
2015,104,남서울대학교,대학,사립,충남,B그룹,291301,116774,408075,558913,168032,726945,4,11,32213,0,15,57498,1000,99,1099,8145,1550,9695,6705,0,726945,10532,69.0,9695,726945,1.399999976158142
2015,105,농협대학교,전문대학,사립,경기,C그룹,36269,5443,41712,44032,6350,50382,1,0,701,0,1,3425,29,9,38,622,6,628,485,0,50382,490,102.80000305175781,628,50382,1.2999999523162842
2015,106,능인대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2015,107,단국대학교,대학,사립,경기,A그룹,844215,292688,1136903,1356288,485893,1842181,31,26,29240,0,57,56079,1085,253,1338,33046,10354,43400,34476,100417,1842181,28405,64.9000015258789,43400,1842181,2.4000000953674316
2015,108,대경대학교,전문대학,사립,경북,B그룹,20292,571,20863,34282,757,35039,1,6,712,0,7,1013,86,1,87,1433,1128,2561,1578,0,35039,4169,8.399999618530273,2561,35039,7.900000095367432
2015,109,대구가톨릭대학교,대학,사립,경북,A그룹,441669,238432,680101,911639,349184,1260823,40,26,33791,0,66,56310,980,149,1129,20957,6015,26972,20341,3302,1260823,15401,81.9000015258789,26972,1260823,2.200000047683716
2015,110,대구경북과학기술원,대학,국립,대구,C그룹,29788,36635,66423,34301,37542,71843,40,20,1325106,0,60,1335607,59,28,87,14754,452,15206,14617,0,71843,672,106.9000015258789,15206,71843,26.799999237060547
2015,111,대구공업대학교,전문대학,사립,대구,C그룹,52725,2185,54910,93167,3063,96230,0,3,3977,0,3,4222,145,3,148,992,53,1045,876,0,96230,2022,47.599998474121094,1045,96230,1.100000023841858
2015,112,대구과학대학교,전문대학,사립,대구,A그룹,70562,3037,73599,118428,3492,121920,1,1,3385,0,2,3385,89,1,90,4468,312,4780,3786,0,121920,4528,26.899999618530273,4780,121920,4.099999904632568
2015,113,대구교육대학교,대학,국립,대구,C그룹,129623,12377,142000,268227,22360,290587,0,8,2200,0,8,2200,446,125,571,7447,488,7935,4702,0,290587,2654,109.5,7935,290587,2.799999952316284
2015,114,대구대학교,대학,사립,경북,A그룹,479701,227159,706860,1165416,416610,1582026,7,13,23408,0,20,32630,1506,244,1750,23021,5328,28349,15539,188,1582026,21554,73.4000015258789,28349,1582026,1.7999999523162842
2015,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,88178,2977,91155,1,0,865,0,1,2512,65,0,65,0,0,0,0,0,91155,1019,89.5,0,91155,0.0
2015,116,대구보건대학교,전문대학,사립,대구,A그룹,64735,7004,71739,168935,9999,178934,1,8,3645,0,9,3994,137,9,146,7932,144,8076,2081,0,178934,6893,26.0,8076,178934,4.699999809265137
2015,117,대구사이버대학교,대학,사립,경북,C그룹,14632,0,14632,14913,0,14913,5,0,14913,0,5,14918,0,0,0,378,0,378,374,0,14913,4222,3.5,378,14913,2.5999999046325684
2015,118,대구예술대학교,대학,사립,경북,C그룹,40744,1142,41886,86538,1849,88387,0,0,5098,0,0,5098,57,5,62,623,0,623,298,0,88387,1476,59.900001525878906,623,88387,0.699999988079071
2015,119,대구외국어대학교,대학,사립,경북,C그룹,14489,349,14838,29060,1692,30752,0,0,0,0,0,0,93,8,101,786,921,1707,1039,0,30752,345,89.0999984741211,1707,30752,5.900000095367432
2015,120,대구한의대학교,대학,사립,경북,B그룹,234509,68126,302635,427673,111155,538828,9,7,19108,0,16,28967,406,29,435,8337,2193,10530,6452,151,538828,7550,71.4000015258789,10530,538828,2.0
2015,121,대덕대학교,전문대학,사립,대전,C그룹,43790,1054,44844,69132,1462,70594,1,1,6411,0,2,10198,135,3,138,3067,546,3613,2078,4759,70594,4357,16.200000762939453,3613,70594,5.400000095367432
