연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-정보화기기(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2019,296,울산과학대학교,전문대학,사립,울산,A그룹,4922.0,1450,83,4922.0,5036,1.0
2019,297,울산대학교,대학,사립,울산,A그룹,22112.0,3433,165,22112.0,13880,1.600000023841858
2019,298,웅지세무대학교,전문대학,사립,경기,C그룹,2818.0,654,0,2818.0,1489,1.899999976158142
2019,299,원광대학교,대학,사립,전북,A그룹,21158.0,3393,146,21158.0,16799,1.2999999523162842
2019,300,원광보건대학교,전문대학,사립,전북,B그룹,2016.0,491,3,2016.0,4510,0.4000000059604645
2019,301,원불교대학원대학교,대학원대학,사립,전북,-,379.0,42,2,379.0,41,9.199999809265137
2019,302,웨스트민스터신학대학원대학교,대학원대학,사립,경기,-,1303.0,100,3,1303.0,432,3.0
2019,303,위덕대학교,대학,사립,경북,C그룹,5933.0,908,30,5933.0,3439,1.7000000476837158
2019,304,유원대학교,대학,사립,충북,C그룹,3061.0,700,52,3061.0,3789,0.800000011920929
2019,305,유한대학교,전문대학,사립,경기,A그룹,3885.0,718,62,3885.0,4548,0.8999999761581421
2019,306,육군사관학교,기타,기타,서울,-,6600.0,531,21,6600.0,0,0.0
2019,307,을지대학교,대학,사립,대전,B그룹,6815.5,1601,91,6815.5,5177,1.2999999523162842
2019,308,이화여자대학교,대학,사립,서울,A그룹,22541.69921875,3764,392,22541.69921875,21596,1.0
2019,309,인덕대학교,전문대학,사립,서울,A그룹,4164.0,816,12,4164.0,6067,0.699999988079071
2019,310,인제대학교,대학,사립,경남,B그룹,13896.2001953125,2212,166,13896.2001953125,10687,1.2999999523162842
2019,311,인제대학원대학교,대학원대학,사립,서울,-,0.0,0,0,0.0,0,0.0
2019,312,인천가톨릭대학교,대학,사립,인천,C그룹,3260.0,243,22,3260.0,828,3.9000000953674316
