연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2020,187,삼육보건대학교,전문대학,사립,서울,C그룹,1371,1371,0,35,97,70,782,2355,1331,1331,0,43,88,63,220,1745,0,107185,669,0,32,54,12,767,3887,0,518,801,127,5333,0,0,0,5,10,0,0,0,1,22,300,3887,1371,2.799999952316284,107185,1371,78.19999694824219
2020,188,상명대학교,대학,사립,서울,A그룹,13947,12730,1217,472,445,281,551,15696,13594,12249,1345,471,513,282,2426,17286,0,785404,6347,468,400,262,265,7742,39703,3530,5264,7830,68745,125072,0,0,1697,3778,646,147,152,490,71,43,737,43233,13947,3.0999999046325684,785404,13947,56.29999923706055
2020,189,상지대학교,대학,사립,강원,B그룹,6784,6487,297,250,293,142,165,7634,7190,6873,317,280,410,155,3227,11262,0,234577,1628,50,190,76,33,1977,8789,600,1804,1190,509,12892,0,0,5,0,6,20,18,65,12,25,357,9389,6784,1.399999976158142,234577,6784,34.599998474121094
2020,190,상지영서대학교,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,191,서강대학교,대학,사립,서울,A그룹,11194,8522,2672,413,753,257,6260,18877,11053,8275,2778,407,686,251,6496,18893,0,1163028,5618,1915,479,193,812,9017,61038,45028,12306,3766,22027,144165,0,0,2918,2161,825,3347,4019,910,1066,126,2594,106066,11194,9.5,1163028,11194,103.9000015258789
2020,192,서경대학교,대학,사립,서울,B그룹,6892,6468,424,235,337,198,1003,8665,6665,6185,480,239,336,200,843,8283,0,384696,2383,110,136,99,1215,3943,16834,788,2871,1760,4518,26771,0,0,0,0,0,3,114,11,7,38,1586,17622,6892,2.5999999046325684,384696,6892,55.79999923706055
2020,193,서남대학교,대학,사립,전북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,194,서라벌대학교,전문대학,사립,경북,C그룹,680,680,0,27,35,29,0,771,633,633,0,24,45,27,0,729,0,26419,404,0,12,10,1,427,2388,0,10,27,17,2442,0,0,92,20,0,1,0,0,0,10,724,2388,680,3.5,26419,680,38.900001525878906
2020,195,서영대학교,전문대학,사립,광주,A그룹,5122,5122,0,132,317,68,0,5639,5221,5221,0,138,305,65,0,5729,0,73241,447,0,41,20,0,508,2234,0,700,233,0,3167,0,0,54,18,1,0,0,0,0,14,181,2234,5122,0.4000000059604645,73241,5122,14.300000190734863
2020,196,서울과학기술대학교,대학,국립,서울,A그룹,12209,10635,1574,376,603,396,1979,15563,12176,10587,1589,386,458,419,2166,15605,0,1163171,6926,665,355,282,558,8786,53016,5843,6688,4023,15863,85433,0,0,5152,6612,232,104,87,345,41,27,1166,58859,12209,4.800000190734863,1163171,12209,95.30000305175781
2020,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,522,0,522,8,34,51,0,615,533,0,533,7,70,48,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,522,0
