연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_사서자격증 소지자,직원_정규직_사서자격증 미소지자,직원_비정규직_사서자격증 소지자,직원_비정규직_사서자격증 미소지자,직원_합계_사서자격증 소지자,직원_합계_사서자격증 미소지자,직원_합계_계,사서자격증 보유현황_정규직_1급 정사서,사서자격증 보유현황_정규직_2급 정사서,사서자격증 보유현황_정규직_준사서,사서자격증 보유현황_정규직_합계,사서자격증 보유현황_비정규직_1급 정사서,사서자격증 보유현황_비정규직_2급 정사서,사서자격증 보유현황_비정규직_준사서,사서자격증 보유현황_비정규직_합계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2014,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,62,광주교육대학교,대학,국립,광주,C그룹,3,1,0,0,3,1,4,0,3,0,3,0,0,0,0,208,7,3,1,0,0,2279,1.7000000476837158,3,0,2279,1.2999999523162842,208,4,0,52
2014,63,광주대학교,대학,사립,광주,B그룹,2,1,0,10,2,11,13,1,1,0,2,0,0,0,0,150,30,2,1,0,10,8073,1,2,0,8073,0.20000000298023224,150,3,10,11.5
2014,64,광주보건대학교,전문대학,사립,광주,B그룹,4,0,1,0,5,0,5,0,4,0,4,0,1,0,1,170,24,4,0,1,0,4190,1.100000023841858,4,1,4190,1.2000000476837158,170,4,1,34
2014,65,광주여자대학교,대학,사립,광주,C그룹,0,1,1,7,1,8,9,0,0,0,0,0,1,0,1,0,0,0,1,1,7,4386,1.2000000476837158,0,1,4386,0.20000000298023224,0,1,8,0
2014,66,구미대학교,전문대학,사립,경북,A그룹,1,0,1,1,2,1,3,1,0,0,1,0,1,0,1,7,3,1,0,1,1,5498,0.4000000059604645,1,1,5498,0.4000000059604645,7,1,2,2.299999952316284
2014,67,구세군사관대학원대학교,대학원대학,사립,경기,-,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,27,2,0,0,1,0,24,33.29999923706055,0,1,24,41.70000076293945,27,0,1,27
2014,68,국군간호사관학교,기타,기타,대전,-,1,0,1,0,2,0,2,0,1,0,1,1,0,0,1,218,4,1,0,1,0,321,5.599999904632568,1,1,321,6.199999809265137,218,1,1,109
2014,69,국립강릉원주대학교,대학,국립,강원,B그룹,14,2,2,1,16,3,19,3,10,1,14,0,0,2,2,1375,130,14,2,2,1,8932,2,14,2,8932,1.7999999523162842,1375,16,3,72.4000015258789
2014,70,국립경국대학교,대학,국립,경북,B그룹,12,0,1,3,13,3,16,2,9,1,12,0,0,1,1,1127,37,12,0,1,3,8422,1.7000000476837158,12,1,8422,1.5,1127,12,4,70.4000015258789
2014,71,국립공주대학교,대학,국립,충남,A그룹,18,2,0,0,18,2,20,4,14,0,18,0,0,0,0,1934,40,18,2,0,0,17185,1.100000023841858,18,0,17185,1,1934,20,0,96.69999694824219
2014,72,국립군산대학교,대학,국립,전북,B그룹,13,1,0,0,13,1,14,4,9,0,13,0,0,0,0,1079,144,13,1,0,0,8879,1.600000023841858,13,0,8879,1.5,1079,14,0,77.0999984741211
2014,73,국립금오공과대학교,대학,국립,경북,B그룹,6,0,2,1,8,1,9,3,3,0,6,0,2,0,2,508,18,6,0,2,1,7466,1.100000023841858,6,2,7466,1.100000023841858,508,6,3,56.400001525878906
2014,74,국립목포대학교,대학,국립,전남,B그룹,10,2,0,1,10,3,13,2,8,0,10,0,0,0,0,1059,171,10,2,0,1,9363,1.2999999523162842,10,0,9363,1.100000023841858,1059,12,1,81.5
2014,75,국립목포해양대학교,대학,국립,전남,C그룹,5,0,0,0,5,0,5,2,3,0,5,0,0,0,0,450,73,5,0,0,0,2638,1.899999976158142,5,0,2638,1.899999976158142,450,5,0,90
2014,76,국립부경대학교,대학,국립,부산,A그룹,19,1,1,0,20,1,21,6,10,3,19,0,1,0,1,2202,318,19,1,1,0,19944,1,19,1,19944,1,2202,20,1,104.9000015258789
2014,77,국립순천대학교,대학,국립,전남,B그룹,12,0,0,0,12,0,12,8,4,0,12,0,0,0,0,1767,12,12,0,0,0,8747,1.399999976158142,12,0,8747,1.399999976158142,1767,12,0,147.3000030517578
2014,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,79,국립창원대학교,대학,국립,경남,B그룹,12,1,1,0,13,1,14,1,10,1,12,0,1,0,1,1091,29,12,1,1,0,10578,1.2999999523162842,12,1,10578,1.2000000476837158,1091,13,1,77.9000015258789
2014,80,국립한국교통대학교,대학,국립,충북,B그룹,11,0,0,1,11,1,12,4,6,1,11,0,0,0,0,1346,20,11,0,0,1,9885,1.2000000476837158,11,0,9885,1.100000023841858,1346,11,1,112.19999694824219
2014,81,국립한국해양대학교,대학,국립,부산,B그룹,13,0,0,0,13,0,13,8,5,0,13,0,0,0,0,892,136,13,0,0,0,7843,1.7000000476837158,13,0,7843,1.7000000476837158,892,13,0,68.5999984741211
2014,82,국립한밭대학교,대학,국립,대전,B그룹,7,2,0,1,7,3,10,1,3,3,7,0,0,0,0,739,81,7,2,0,1,8964,1,7,0,8964,0.800000011920929,739,9,1,73.9000015258789
2014,83,국민대학교,대학,사립,서울,A그룹,10,1,11,14,21,15,36,5,5,0,10,0,11,0,11,558,79,10,1,11,14,18224,1.5,10,11,18224,1.2000000476837158,558,11,25,15.5
2014,84,국방대학교,기타,기타,충남,-,8,4,0,0,8,4,12,2,4,2,8,0,0,0,0,150,4,8,4,0,0,0,0,8,0,0,0,150,12,0,12.5
2014,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,0,1,0,0,0,246,4.099999904632568,1,0,246,4.099999904632568,5,1,0,5
2014,86,국제대학교,전문대학,사립,경기,B그룹,1,0,1,1,2,1,3,0,0,1,1,0,0,1,1,222,3,1,0,1,1,4431,0.5,1,1,4431,0.5,222,1,2,74
2014,87,국제문화대학원대학교,대학원대학,사립,충남,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,10,3,1,0,0,0,18,55.599998474121094,1,0,18,55.599998474121094,10,1,0,10
2014,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,88,18.200000762939453,0,0,88,0,0,2,0,0
2014,89,국제사이버대학교,대학,사립,경기,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,20,2,0,2,0,0,2125,0.800000011920929,0,0,2125,0,20,2,0,10
2014,90,국제언어대학원대학교,대학원대학,사립,서울,-,0,0,1,1,1,1,2,0,0,0,0,0,1,0,1,50,50,0,0,1,1,93,14,0,1,93,10.800000190734863,50,0,2,25
2014,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,424,0,0,0,0,0
2014,92,군산간호대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,66,2,1,0,0,1,1113,1.2999999523162842,1,0,1113,0.8999999761581421,66,1,1,33
2014,93,군장대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,34,1,1,0,0,1,2107,0.699999988079071,1,0,2107,0.5,34,1,1,17
2014,94,극동대학교,대학,사립,충북,C그룹,1,2,0,1,1,3,4,0,1,0,1,0,0,0,0,44,3,1,2,0,1,4370,0.699999988079071,1,0,4370,0.20000000298023224,44,3,1,11
2014,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2195,0.699999988079071,0,0,2195,0,0,2,0,0
2014,96,금강대학교,대학,사립,충남,C그룹,2,0,1,0,3,0,3,1,1,0,2,0,1,0,1,0,0,2,0,1,0,473,5.900000095367432,2,1,473,6.300000190734863,0,2,1,0
2014,97,기독간호대학교,전문대학,사립,광주,C그룹,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,18,1,0,0,1,0,579,1.399999976158142,0,1,579,1.7000000476837158,18,0,1,18
2014,98,김천대학교,대학,사립,경북,C그룹,1,2,1,0,2,2,4,0,1,0,1,0,1,0,1,51,7,1,2,1,0,3499,1,1,1,3499,0.6000000238418579,51,3,1,12.800000190734863
2014,99,김포대학교,전문대학,사립,경기,C그룹,1,1,0,2,1,3,4,0,1,0,1,0,0,0,0,75,13,1,1,0,2,3400,0.800000011920929,1,0,3400,0.30000001192092896,75,2,2,18.799999237060547
2014,100,김해대학교,전문대학,사립,경남,C그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,127,1,1,1,0,0,1532,1.2000000476837158,1,0,1532,0.699999988079071,127,2,0,63.5
