연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_업무용컴퓨터(PC)수,시설_설비_이용자용컴퓨터(PC)수,시설_설비_총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2016,401,한국폴리텍Ⅱ대학화성캠퍼스,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0.0
2016,402,한국폴리텍Ⅲ대학강릉캠퍼스,전문대학,사립,강원,C그룹,234,37,1,1,2,234,97,2.4000000953674316
2016,403,한국폴리텍Ⅲ대학원주캠퍼스,전문대학,사립,강원,C그룹,0,0,0,0,0,0,0,0.0
2016,404,한국폴리텍Ⅲ대학춘천캠퍼스,전문대학,사립,강원,C그룹,308,60,1,0,1,308,386,0.800000011920929
2016,405,한국폴리텍Ⅳ대학대전캠퍼스,전문대학,사립,대전,C그룹,264,120,2,0,2,264,1076,0.20000000298023224
2016,406,한국폴리텍Ⅳ대학아산캠퍼스,전문대학,사립,충남,C그룹,403,182,1,0,1,403,553,0.699999988079071
2016,407,한국폴리텍Ⅳ대학청주캠퍼스,전문대학,사립,충북,C그룹,173,60,2,6,8,173,803,0.20000000298023224
2016,408,한국폴리텍Ⅳ대학충남캠퍼스,전문대학,사립,충남,C그룹,348,118,1,0,1,348,272,1.2999999523162842
2016,409,한국폴리텍Ⅴ대학광주캠퍼스,전문대학,사립,광주,C그룹,7101,180,1,6,7,7101,808,8.800000190734863
2016,410,한국폴리텍Ⅴ대학순천캠퍼스,전문대학,사립,전남,C그룹,0,0,0,0,0,0,0,0.0
2016,411,한국폴리텍Ⅴ대학익산캠퍼스,전문대학,사립,전북,C그룹,70,21,1,0,1,70,100,0.699999988079071
2016,412,한국폴리텍Ⅴ대학전남캠퍼스,전문대학,사립,전남,C그룹,250,55,1,1,2,250,289,0.8999999761581421
2016,413,한국폴리텍Ⅴ대학전북캠퍼스,전문대학,사립,전북,C그룹,325,160,1,0,1,325,547,0.6000000238418579
2016,414,한국폴리텍Ⅵ대학구미캠퍼스,전문대학,사립,경북,C그룹,209,90,1,4,5,209,607,0.30000001192092896
2016,415,한국폴리텍Ⅵ대학대구캠퍼스,전문대학,사립,대구,C그룹,239,120,3,5,8,239,1069,0.20000000298023224
2016,416,한국폴리텍Ⅵ대학영남융합기술캠퍼스,전문대학,사립,대구,C그룹,518,102,1,0,1,518,379,1.399999976158142
2016,417,한국폴리텍Ⅵ대학영주캠퍼스,전문대학,사립,경북,C그룹,33,16,1,0,1,33,44,0.800000011920929
2016,418,한국폴리텍Ⅶ대학동부산캠퍼스,전문대학,사립,부산,C그룹,0,0,0,0,0,0,0,0.0
2016,419,한국폴리텍Ⅶ대학부산캠퍼스,전문대학,사립,부산,C그룹,305,126,2,2,4,305,1042,0.30000001192092896
2016,420,한국폴리텍Ⅶ대학울산캠퍼스,전문대학,사립,울산,C그룹,68395,142,1,0,1,68395,881,77.5999984741211
2016,421,한국폴리텍Ⅶ대학진주캠퍼스,전문대학,사립,경남,C그룹,0,0,0,0,0,0,0,0.0
2016,422,한국폴리텍Ⅶ대학창원캠퍼스,전문대학,사립,경남,C그룹,1720,236,1,20,21,1720,1477,1.2000000476837158
2016,423,한국폴리텍특성화 로봇캠퍼스,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2016,424,한국폴리텍특성화 바이오캠퍼스,전문대학,사립,충남,C그룹,536,87,1,1,2,536,377,1.399999976158142
2016,425,한국폴리텍특성화 반도체융합캠퍼스,전문대학,사립,경기,C그룹,1061,74,2,13,15,1061,545,1.899999976158142
2016,426,한국폴리텍특성화 항공캠퍼스,전문대학,사립,경남,C그룹,375,110,1,1,2,375,566,0.699999988079071
2016,427,한국학대학원,대학원대학,국립,경기,-,0,0,0,0,0,0,0,0.0
2016,428,한국항공대학교,대학,사립,경기,C그룹,5416,1044,18,52,70,5416,4616,1.2000000476837158
