연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2020,72,국립군산대학교,대학,국립,전북,B그룹,278298,47900,326198,603030,95497,698527,13,11,25412,5,29,25412,325,63,388,10395,3274,13669,10746,0,698527,8001,87.30000305175781,13669,698527,2.0
2020,73,국립금오공과대학교,대학,국립,경북,B그룹,196674,47001,243675,427728,73632,501360,20,18,202863,5,43,202863,156,49,205,16761,3168,19929,13032,0,501360,6318,79.4000015258789,19929,501360,4.099999904632568
2020,74,국립목포대학교,대학,국립,전남,B그룹,258003,88531,346534,515552,133190,648742,12,19,17881,1,32,17881,419,16,435,10365,5477,15842,10104,0,648742,8132,79.80000305175781,15842,648742,2.5
2020,75,국립목포해양대학교,대학,국립,전남,C그룹,105472,15165,120637,215484,20364,235848,3,5,22186,0,8,22186,121,0,121,3392,1146,4538,2241,0,235848,2689,87.69999694824219,4538,235848,2.0
2020,76,국립부경대학교,대학,국립,부산,A그룹,358341,149930,508271,1058473,238162,1296635,23,29,275169,4,56,275169,480,132,612,14078,18191,32269,18599,0,1296635,18562,69.9000015258789,32269,1296635,2.5999999046325684
2020,77,국립순천대학교,대학,국립,전남,B그룹,392474,102875,495349,719174,152046,871220,18,25,59485,8,51,59485,293,105,398,18209,7109,25318,20225,0,871220,7778,112.0,25318,871220,3.0
2020,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,802,718,1520,806,718,1524,0,0,250,0,0,250,0,0,0,0,0,0,0,0,1524,60,25.399999618530273,0,1524,0.0
2020,79,국립창원대학교,대학,국립,경남,B그룹,287352,122882,410234,528560,177918,706478,19,20,53358,2,41,53358,567,136,703,18064,2689,20753,19440,0,706478,9260,76.30000305175781,20753,706478,3.0
2020,80,국립한국교통대학교,대학,국립,충북,B그룹,271242,69922,341164,612714,94391,707105,10,18,56686,0,28,56686,78,22,100,24412,2917,27329,15046,0,707105,8813,80.19999694824219,27329,707105,4.0
2020,81,국립한국해양대학교,대학,국립,부산,B그룹,193521,96187,289708,417628,153860,571488,13,15,17180,1,29,17180,215,40,255,5000,9583,14583,7929,0,571488,7386,77.4000015258789,14583,571488,2.5999999046325684
2020,82,국립한밭대학교,대학,국립,대전,B그룹,241387,75413,316800,524438,97243,621681,13,18,24665,2,33,24665,288,50,338,14739,6184,20923,13718,0,621681,9285,67.0,20923,621681,3.5
2020,83,국민대학교,대학,사립,서울,A그룹,441293,221502,662795,1126759,306100,1432859,24,36,106998,7,67,106998,917,188,1105,22109,4969,27078,19561,161,1432859,18582,77.0999984741211,27078,1432859,1.899999976158142
2020,84,국방대학교,기타,기타,충남,-,177905,72134,250039,293510,88362,381872,0,28,917,0,28,917,184,80,264,7989,4280,12269,8938,0,381872,0,0.0,12269,381872,3.299999952316284
2020,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,5312,164,5476,5369,164,5533,2,0,0,0,2,0,4,0,4,74,32,106,100,9775,5533,268,20.600000381469727,106,5533,2.0
2020,86,국제대학교,전문대학,사립,경기,B그룹,48833,22552,71385,105943,22580,128523,7,5,44213,0,12,44213,75,0,75,4610,779,5389,3704,0,128523,3889,33.0,5389,128523,4.400000095367432
2020,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
