연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,124,대신대학교,대학,사립,경북,C그룹,78514,10212,88726,97079,10873,107952,2,0,2918,0,2,2918,114,5,119,937,937,1874,1638,0,107952,543,198.8000030517578,1874,107952,1.7999999523162842
2018,125,대원대학교,전문대학,사립,충북,C그룹,49364,3581,52945,77349,4077,81426,2,0,8674,2,4,8674,248,0,248,3169,335,3504,3249,0,81426,2608,31.200000762939453,3504,81426,4.5
2018,126,대전가톨릭대학교,대학,사립,세종,C그룹,89238,35067,124305,105595,38222,143817,0,4,35186,0,4,35186,91,73,164,2179,1233,3412,1702,0,143817,102,1410,3412,143817,2.4000000953674316
2018,127,대전과학기술대학교,전문대학,사립,대전,B그룹,76383,98947,175330,169855,169696,339551,2,1,3127,4,7,3127,190,14,204,4007,1169,5176,2419,0,339551,4513,75.19999694824219,5176,339551,1.5
2018,128,대전대학교,대학,사립,대전,B그룹,369750,98795,468545,576946,143689,720635,7,13,72583,10,30,72583,436,28,464,59537,7718,67255,63147,0,720635,10261,70.19999694824219,67255,720635,10.300000190734863
2018,129,대전보건대학교,전문대학,사립,대전,A그룹,87052,10469,97521,151888,13345,165233,4,8,23603,1,13,23603,78,0,78,1580,2460,4040,2780,0,165233,5789,28.5,4040,165233,2.5
2018,130,대전신학대학교,대학,사립,대전,C그룹,40248,9272,49520,65514,11660,77174,0,2,4338,0,2,4338,184,0,184,452,230,682,596,0,77174,237,325.6000061035156,682,77174,0.8999999761581421
2018,131,대진대학교,대학,사립,경기,B그룹,253992,93819,347811,505774,146495,652269,7,19,33411,7,33,33411,246,6,252,25074,7206,32280,21146,1265,652269,7973,81.80000305175781,32280,652269,5.199999809265137
2018,132,대한신학대학원대학교,대학원대학,사립,경기,-,7405,1931,9336,13118,2699,15817,0,0,0,0,0,0,51,0,51,0,19,19,19,0,15817,290,54.5,19,15817,0.10000000149011612
2018,133,덕성여자대학교,대학,사립,서울,B그룹,367797,74009,441806,613686,127776,741462,13,22,13436,6,41,13436,785,94,879,11672,3095,14767,11657,2340,741462,6121,121.0999984741211,14767,741462,2
