연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,49,계원예술대학교,전문대학,사립,경기,B그룹,30560366985,17374286,10200381,0,14794000,1670000,0,14700000,58738667,31211548952,26200000,5000000,100000,13630000,1670000,0,14600000,61200000,58738667,2832,20741.1,58738667,30560366985,0.2,124336134,89234934,58738667,-31.2
2022,50,고려대학교,대학,사립,서울,A그룹,580069756428,1039468052,528984736,543070,4608216379,1212530784,0,284862091,7674605112,656501698000,1016461550,573000000,2800000,4694236000,1139232000,0,294615450,7720345000,7674605112,29572,259522.7,7674605112,580069756428,1.3,7374375959,7335666765,7674605112,2.0
2022,51,고려대학교(세종),대학,사립,세종,B그룹,106451674187,129710771,15434009,0,213345018,254888178,0,44250000,657627976,97172351000,68500000,14967000,0,236923221,283076779,0,45577000,649044000,657627976,7481,87906.4,657627976,106451674187,0.6,594865029,638026284,657627976,5.2
2022,52,고려사이버대학교,대학,사립,서울,A그룹,60029547054,16095000,0,0,0,12000000,0,0,28095000,63275325000,17000000,0,0,0,13500000,0,0,30500000,28095000,10457,2686.7,28095000,60029547054,0.0,26941000,28670000,28095000,2.2
2022,53,고신대학교,대학,사립,부산,C그룹,62031261113,112054900,31178722,0,413602104,95481643,0,10714000,663031369,70776828000,136600000,44484000,1000000,444915385,103684615,0,5000000,735684000,663031369,4686,141492.0,663031369,62031261113,1.1,620552129,693699244,663031369,3.7
2022,54,공군사관학교,기타,기타,충북,-,0,122622590,10471000,6800000,30154000,14863000,0,0,184910590,0,98000000,14560000,6800000,28882000,15230000,0,0,163472000,184910590,0,0.0,184910590,0,0.0,163139100,175744360,184910590,6.5
2022,55,공주교육대학교,대학,국립,충남,C그룹,23647936602,107959000,4163000,0,30548000,12317000,0,0,154987000,23499673000,110000000,4000000,0,33000000,12000000,0,0,159000000,154987000,2003,77377.4,154987000,23647936602,0.7,153539560,155213790,154987000,0.5
2022,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,23776984973,190110369,0,0,4950000,64513818,0,0,259574187,25541708197,250000000,0,0,0,0,0,0,250000000,259574187,1282,202476.0,259574187,23776984973,1.1,257559279,298000000,259574187,1.4
2022,57,광신대학교,대학,사립,광주,C그룹,10030214359,35136274,498000,0,4000000,0,0,0,39634274,10565137000,29100000,800000,500000,4000000,0,0,0,34400000,39634274,977,40567.3,39634274,10030214359,0.4,32596137,32970353,39634274,10.7
2022,58,광양보건대학교,전문대학,사립,전남,C그룹,-3864350486,0,0,0,0,0,0,0,0,4342630000,2500000,100000,3000000,500000,500000,0,400000,7000000,0,371,0.0,0,-3864350486,0.0,6750000,3204468,0,-76.3
2022,59,광운대학교,대학,사립,서울,B그룹,118376967669,307991708,14620990,1712520,698561837,311078705,0,41611800,1375577560,116457751000,400000000,16000000,2000000,157000000,50000000,0,40000000,665000000,1375577560,9900,138947.2,1375577560,118376967669,1.2,1291597886,1406923051,1375577560,3.4
2022,60,광주가톨릭대학교,대학,사립,전남,C그룹,3026537107,36767400,20607500,582930,14600000,8436241,0,0,80994071,3021734000,37000000,20200000,300000,15000000,8500000,0,0,81000000,80994071,109,743064.9,80994071,3026537107,2.7,80966268,68650672,80994071,1.4
