YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2019,79,국립창원대학교,대학,국립,경남,B그룹,277741,105016,382757,516054,159444,675498,16,12,52922,2,30,52922,656,131,787,13820,9889,23709,21993,0,675498,9480,71.30000305175781,23709,675498,3.5999999046325684
2019,80,국립한국교통대학교,대학,국립,충북,B그룹,258566,67552,326118,588360,91413,679773,9,7,27370,2,18,27370,76,27,103,24983,1859,26842,12028,0,679773,8962,75.9000015258789,26842,679773,4.099999904632568
2019,81,국립한국해양대학교,대학,국립,부산,B그룹,186951,94685,281636,405337,151808,557145,14,16,11876,1,31,11876,215,40,255,7862,10753,18615,9940,10,557145,7596,73.30000305175781,18615,557145,3.5
2019,82,국립한밭대학교,대학,국립,대전,B그룹,233795,69973,303768,510097,91480,601577,9,13,24482,2,24,24482,351,79,430,15568,12449,28017,19254,0,601577,9231,65.19999694824219,28017,601577,4.900000095367432
2019,83,국민대학교,대학,사립,서울,A그룹,426770,216625,643395,1105349,300593,1405942,21,37,102370,7,65,102370,948,224,1172,34467,6383,40850,32983,152,1405942,18257,77.0,40850,1405942,3.0
2019,84,국방대학교,기타,기타,충남,-,173489,70737,244226,280272,84755,365027,0,20,701,0,20,701,1394,643,2037,8105,1705,9810,6628,30000,365027,0,0.0,9810,365027,2.799999952316284
2019,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,10677,1092,11769,12985,1177,14162,2,0,0,0,2,0,4,0,4,150,31,181,177,0,14162,277,51.09999847412109,181,14162,1.2999999523162842
2019,86,국제대학교,전문대학,사립,경기,B그룹,45137,22550,67687,100558,22576,123134,5,4,42005,0,9,42005,87,0,87,4444,677,5121,2943,0,123134,3895,31.600000381469727,5121,123134,4.300000190734863
2019,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,1289,2708,3997,2148,4565,6713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6713,132,50.900001525878906,0,6713,0.0
2019,89,국제사이버대학교,대학,사립,경기,C그룹,1200,0,1200,9390,0,9390,0,0,9390,0,0,9390,0,0,0,0,0,0,0,0,9390,2942,3.200000047683716,0,9390,0.0
2019,90,국제언어대학원대학교,대학원대학,사립,서울,-,2908,12323,15231,3825,13432,17257,0,0,130,0,0,130,21,50,71,88,0,88,88,0,17257,87,198.3999938964844,88,17257,0.5
2019,91,국제예술대학교,기타,기타,서울,-,1041,26,1067,1041,26,1067,0,0,0,0,0,0,0,0,0,47,0,47,47,0,1067,0,0.0,47,1067,4.599999904632568
2019,92,군산간호대학교,전문대학,사립,전북,C그룹,19014,3702,22716,32362,4824,37186,1,4,11250,0,5,11250,25,25,50,1671,2,1673,1264,1037,37186,1136,32.70000076293945,1673,37186,4.699999809265137
2019,93,군장대학교,전문대학,사립,전북,C그룹,52761,244,53005,85612,333,85945,1,1,9424,0,2,9424,17,0,17,3301,24,3325,3286,0,85945,1897,45.29999923706055,3325,85945,4.0
2019,94,극동대학교,대학,사립,충북,C그룹,167426,27632,195058,275742,34406,310148,2,0,96724,2,4,96724,187,12,199,2378,900,3278,3165,0,310148,3953,78.5,3278,310148,1.100000023841858
2019,95,글로벌사이버대학교,대학,사립,충남,C그룹,786,0,786,1721,0,1721,0,1,786,0,1,786,0,0,0,155,0,155,152,0,1721,2151,0.800000011920929,155,1721,9.899999618530272
2019,96,금강대학교,대학,사립,충남,C그룹,63811,14767,78578,100536,24745,125281,0,3,0,0,3,0,82,12,94,1585,1656,3241,2291,0,125281,545,229.8999938964844,3241,125281,2.700000047683716
2019,97,기독간호대학교,전문대학,사립,광주,C그룹,19701,4264,23965,28976,5419,34395,1,1,312,0,2,312,55,0,55,700,61,761,662,0,34395,632,54.400001525878906,761,34395,2.299999952316284
2019,98,김천대학교,대학,사립,경북,C그룹,106364,139237,245601,152333,140252,292585,3,9,175289,0,12,175289,112,0,112,9498,655,10153,8268,0,292585,3340,87.5999984741211,10153,292585,3.5999999046325684
2019,99,김포대학교,전문대학,사립,경기,C그룹,65695,4904,70599,109763,5742,115505,1,7,8373,2,10,8373,101,7,108,4777,1377,6154,5028,0,115505,3508,32.900001525878906,6154,115505,5.599999904632568
2019,100,김해대학교,전문대학,사립,경남,C그룹,21894,302,22196,25307,307,25614,1,1,831,0,2,831,9,0,9,599,1182,1781,1344,0,25614,1367,18.700000762939453,1781,25614,7.5
2019,101,나사렛대학교,대학,사립,충남,B그룹,179538,107311,286849,266836,113935,380771,6,7,118544,2,15,118544,143,9,152,12716,1460,14176,11531,0,380771,5612,67.80000305175781,14176,380771,3.900000095367432
