ID,SNM,STYP,FND,RGN,USC,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
294,우송정보대학,전문대학,사립,대전,B그룹,69.43629964977137,68.47917679724297,69.36362010978735,69.35755,69.36117
295,울산과학기술원,대학,국립,울산,C그룹,71.22101041644801,71.27749660659653,71.24708819013439,71.28592,71.28592
296,울산과학대학교,전문대학,사립,울산,A그룹,67.68253147181234,67.7083610047014,67.78549860664873,67.79305,67.79105
297,울산대학교,대학,사립,울산,A그룹,72.53372047703917,73.36441303268487,72.42721962028439,72.45213,72.42247
298,웅지세무대학교,전문대학,사립,경기,C그룹,69.67082288225515,69.16606557620331,69.21834662234737,69.21488,69.21213
299,원광대학교,대학,사립,전북,A그룹,67.96958936297986,67.7098041959846,67.70295111671852,67.69671,67.699974
300,원광보건대학교,전문대학,사립,전북,B그룹,65.82771843605244,65.64834220481453,66.20535407954718,66.18576,66.169495
301,원불교대학원대학교,대학원대학,사립,전북,-,71.06261454085202,71.06261454085202,71.05594656889934,71.05412,71.05412
302,웨스트민스터신학대학원대학교,대학원대학,사립,경기,-,69.15256002189948,68.39981106367257,68.38052264275177,68.38506,68.384315
303,위덕대학교,대학,사립,경북,C그룹,67.76403522348878,68.28155329832252,67.68280805228872,67.680435,67.681496
304,유원대학교,대학,사립,충북,C그룹,68.97894875662564,69.00215829962356,68.00835270385262,68.00857,68.01019
305,유한대학교,전문대학,사립,경기,A그룹,67.97151766260738,67.92657497257264,68.06404259941667,68.05997,68.06059
306,육군사관학교,기타,기타,서울,-,69.16248498966989,69.18404758995327,69.21203997162266,69.21253,69.20906
307,을지대학교,대학,사립,대전,B그룹,67.48630701469502,67.66165946633356,68.32112432559136,68.32924,68.32959
308,이화여자대학교,대학,사립,서울,A그룹,71.27596813687548,71.44185493428604,71.64916482994207,71.810905,71.87619
309,인덕대학교,전문대학,사립,서울,A그룹,67.87710210986647,67.9671122366331,68.12173977351675,68.125015,68.12689
310,인제대학교,대학,사립,경남,B그룹,69.55186413447491,69.99132524449502,70.24424731468962,70.13798,69.87543
311,인제대학원대학교,대학원대학,사립,서울,-,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
312,인천가톨릭대학교,대학,사립,인천,C그룹,68.45071380183713,68.16428155766536,67.34307831600795,67.34923,67.35263
313,인천대학교,대학,국립,인천,A그룹,69.5837779822361,68.61089146011352,68.71326573500185,68.71275,68.71431
314,인천전문대학,전문대학,공립,인천,A그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
315,인하공업전문대학,전문대학,사립,인천,A그룹,68.19763884072808,68.05836625519225,68.17240947863425,68.17013,68.16822
316,인하대학교,대학,사립,인천,A그룹,71.37822193282835,71.55364139762948,71.03801690076706,71.034065,71.03748
317,장로회신학대학교,대학,사립,서울,C그룹,66.20823193439918,65.9337467079266,66.12819947212074,66.10425,66.110374
318,장안대학교,전문대학,사립,경기,B그룹,68.46075917514894,68.6577009310512,68.3395386464971,68.346214,68.34373
319,재능대학교,전문대학,사립,인천,B그룹,69.271201218058,68.31517929708949,68.22550837793037,68.23553,68.23109
320,전남과학대학교,전문대학,사립,전남,B그룹,68.33711001024392,68.34381423915096,68.34230541827033,68.34296,68.34496
321,전남대학교,대학,국립,광주,A그룹,72.12697067041447,73.1091165082885,72.79012044286777,73.09907,73.02545
322,전남도립대학교,전문대학,공립,전남,C그룹,68.13817079366032,67.87725520199083,67.8330838296171,67.824234,67.82438
323,전북과학대학교,전문대학,사립,전북,C그룹,68.94152506581894,68.81634481973725,69.3842602299273,69.3815,69.37964
