Year,ID,SchName,SchType,FoundType,Region,UnivScale,Facility_LibAreaSqm,Facility_ReadSeat_TotSeats,Facility_Equip_StaffPCs,Facility_Equip_UserPCs,Facility_Equip_TotalPCs,AreaPerSt_Area,AreaPerSt_StCountCurr,AreaPerSt_AreaPerSt
2014,140,동방문화대학원대학교,대학원대학,사립,서울,-,217,30,2,5,7,217,235,0.8999999761581421
2014,141,동부산대학교,전문대학,사립,부산,C그룹,2292,508,6,47,53,2292,2978,0.800000011920929
2014,142,동서대학교,대학,사립,부산,B그룹,14345,3335,22,146,168,14345,11783,1.2000000476837158
2014,143,동서울대학교,전문대학,사립,경기,A그룹,4501,1046,9,4,13,4501,6195,0.699999988079071
2014,144,동신대학교,대학,사립,전남,B그룹,12927,1509,21,56,77,12927,7619,1.7000000476837158
2014,145,동아대학교,대학,사립,부산,A그룹,14770,3398,62,240,302,14770,23773,0.6000000238418579
2014,146,동아방송예술대학교,전문대학,사립,경기,B그룹,701,203,7,33,40,701,3015,0.2000000029802322
2014,147,동아보건대학교,전문대학,사립,전남,C그룹,1374,212,5,30,35,1374,2114,0.6000000238418579
2014,148,동양대학교,대학,사립,경북,C그룹,2292,506,7,17,24,2292,4911,0.5
2014,149,동양미래대학교,전문대학,사립,서울,A그룹,5827,1000,30,147,177,5827,6508,0.8999999761581421
2014,150,동우대학,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0.0
2014,151,동원과학기술대학교,전문대학,사립,경남,B그룹,3156,490,8,75,83,3156,2351,1.2999999523162842
2014,152,동원대학교,전문대학,사립,경기,B그룹,1591,109,8,51,59,1591,3920,0.4000000059604645
2014,153,동의과학대학교,전문대학,사립,부산,B그룹,1949,509,9,35,44,1949,5795,0.3000000119209289
2014,154,동의대학교,대학,사립,부산,A그룹,13546,4047,36,89,125,13546,18496,0.699999988079071
2014,155,두원공과대학교,전문대학,사립,경기,B그룹,2219,476,7,70,77,2219,6105,0.4000000059604645
2014,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,0,2,1,2,3,0,3439,0.0
2014,157,루터대학교,대학,사립,경기,C그룹,552,110,5,4,9,552,493,1.100000023841858
2014,158,마산대학교,전문대학,사립,경남,A그룹,3153,1000,9,77,86,3153,6333,0.5
2014,159,명신대학교,대학,사립,전남,C그룹,0,0,0,0,0,0,0,0.0
2014,160,명지대학교,대학,사립,서울,A그룹,34796,3764,34,421,455,34796,17271,2.0
2014,161,명지전문대학,전문대학,사립,서울,A그룹,5766,821,15,30,45,5766,7640,0.800000011920929
2014,162,목원대학교,대학,사립,대전,B그룹,8106,1469,21,54,75,8106,9977,0.800000011920929
2014,163,목포가톨릭대학교,대학,사립,전남,C그룹,1129,445,3,9,12,1129,539,2.0999999046325684
2014,164,목포과학대학교,전문대학,사립,전남,B그룹,3510,620,6,13,19,3510,3154,1.100000023841858
2014,165,문경대학교,전문대학,사립,경북,C그룹,744,177,3,5,8,744,914,0.800000011920929
2014,166,배재대학교,대학,사립,대전,B그룹,9465,1672,20,97,117,9465,10540,0.8999999761581421
2014,167,배화여자대학교,전문대학,사립,서울,B그룹,6329,627,5,72,77,6329,3098,2.0
2014,168,백석대학교,대학,사립,충남,A그룹,14413,2638,26,156,182,14413,15700,0.8999999761581421
2014,169,백석문화대학교,전문대학,사립,충남,A그룹,3340,512,36,72,108,3340,6267,0.5
2014,170,백석예술대학,전문대학,사립,서울,A그룹,0,0,0,0,0,0,0,0.0
2014,171,백제예술대학교,전문대학,사립,전북,C그룹,1355,135,3,11,14,1355,1925,0.699999988079071
2014,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,198,16,3,1,4,198,86,2.299999952316284
2014,173,벽성대학,전문대학,사립,전북,C그룹,0,0,0,0,0,0,0,0.0
2014,174,부산가톨릭대학교,대학,사립,부산,C그룹,5686,909,17,47,64,5686,4307,1.2999999523162842
2014,175,부산경상대학교,전문대학,사립,부산,B그룹,3823,876,12,46,58,3823,3452,1.100000023841858
2014,176,부산과학기술대학교,전문대학,사립,부산,B그룹,2515,431,8,51,59,2515,4685,0.5
2014,177,부산교육대학교,대학,국립,부산,C그룹,6023,818,16,41,57,6023,2620,2.299999952316284
2014,178,부산대학교,대학,국립,부산,A그룹,35855,5578,113,274,387,35855,30429,1.2000000476837158
2014,179,부산디지털대학교,대학,사립,부산,C그룹,0,0,0,0,0,0,0,0.0
2014,180,부산보건대학교,전문대학,사립,부산,B그룹,2471,657,10,39,49,2471,3493,0.699999988079071
2014,181,부산여자대학교,전문대학,사립,부산,C그룹,5131,605,13,44,57,5131,3267,1.600000023841858
2014,182,부산예술대학교,전문대학,사립,부산,C그룹,1067,200,1,2,3,1067,867,1.2000000476837158
2014,183,부산외국어대학교,대학,사립,부산,B그룹,7771,2020,23,100,123,7771,9811,0.800000011920929
2014,184,부산장신대학교,대학,사립,경남,C그룹,1041,211,4,29,33,1041,519,2.0
2014,185,부천대학교,전문대학,사립,경기,A그룹,4267,801,13,22,35,4267,7840,0.5
2014,186,삼육대학교,대학,사립,서울,B그룹,6671,1236,28,105,133,6671,6258,1.100000023841858
2014,187,삼육보건대학교,전문대학,사립,서울,C그룹,1282,284,8,45,53,1282,1248,1.0
2014,188,상명대학교,대학,사립,서울,A그룹,12174,2672,63,220,283,12174,14725,0.800000011920929
2014,189,상지대학교,대학,사립,강원,B그룹,13824,1398,20,115,135,13824,8885,1.600000023841858
2014,190,상지영서대학교,전문대학,사립,강원,B그룹,2152,344,7,123,130,2152,2890,0.699999988079071
2014,191,서강대학교,대학,사립,서울,A그룹,16443,2793,118,132,250,16443,11614,1.399999976158142
2014,192,서경대학교,대학,사립,서울,B그룹,11400,1670,28,264,292,11400,7186,1.600000023841858
2014,193,서남대학교,대학,사립,전북,C그룹,2118,714,6,22,28,2118,1962,1.100000023841858
2014,194,서라벌대학교,전문대학,사립,경북,C그룹,1110,394,3,5,8,1110,1106,1.0
2014,195,서영대학교,전문대학,사립,광주,A그룹,2029,629,3,30,33,2029,4970,0.4000000059604645
2014,196,서울과학기술대학교,대학,국립,서울,A그룹,14177,2073,33,166,199,14177,12465,1.100000023841858
2014,197,서울과학종합대학원대학교,대학원대학,사립,서울,-,108,35,1,3,4,108,359,0.3000000119209289
2014,198,서울교육대학교,대학,국립,서울,C그룹,4480,821,23,69,92,4480,3041,1.5
2014,199,서울기독대학교,대학,사립,서울,C그룹,583,140,4,8,12,583,891,0.699999988079071
2014,200,서울대학교,대학,국립,서울,A그룹,47828,6557,120,219,339,47828,27986,1.7000000476837158
2014,201,서울디지털대학교,대학,사립,서울,A그룹,10,0,4,2,6,10,10689,0.0
2014,202,서울미디어대학원대학교,대학원대학,사립,서울,-,379,76,1,4,5,379,90,4.199999809265137
2014,203,서울벤처대학원대학교,대학원대학,사립,서울,-,33,10,0,4,4,33,244,0.1000000014901161
2014,204,서울불교대학원대학교,대학원대학,사립,서울,-,218,48,1,3,4,218,157,1.399999976158142
2014,205,서울사이버대학교,대학,사립,서울,A그룹,0,0,1,0,1,0,11362,0.0
2014,206,서울사회복지대학원대학교,대학원대학,사립,서울,-,158,36,1,0,1,158,137,1.2000000476837158
2014,207,서울상담심리대학원대학교,대학원대학,사립,서울,-,429,105,2,6,8,429,125,3.400000095367432
2014,208,서울성경신학대학원대학교,대학원대학,사립,서울,-,210,52,1,1,2,210,58,3.5999999046325684
2014,209,서울시립대학교,대학,공립,서울,A그룹,15346,2517,54,201,255,15346,12265,1.2999999523162842
2014,210,서울신학대학교,대학,사립,경기,C그룹,4529,752,37,45,82,4529,3234,1.399999976158142
2014,211,서울여자간호대학교,전문대학,사립,서울,C그룹,1195,313,2,14,16,1195,968,1.2000000476837158
2014,212,서울여자대학교,대학,사립,서울,B그룹,10623,1687,38,127,165,10623,8520,1.2000000476837158
2014,213,서울예술대학교,전문대학,사립,경기,B그룹,730,140,7,32,39,730,2959,0.2000000029802322
2014,214,서울외국어대학원대학교,대학원대학,사립,서울,-,73,59,0,0,0,73,156,0.5
2014,215,서울장신대학교,대학,사립,경기,C그룹,1692,296,7,70,77,1692,864,2.0
2014,216,서울한영대학교,대학,사립,서울,C그룹,1385,183,7,17,24,1385,1000,1.399999976158142
2014,217,서원대학교,대학,사립,충북,B그룹,5995,1348,20,65,85,5995,7468,0.800000011920929
2014,218,서일대학교,전문대학,사립,서울,A그룹,2519,611,14,43,57,2519,6396,0.4000000059604645
2014,219,서정대학교,전문대학,사립,경기,A그룹,984,184,5,2,7,984,4487,0.2000000029802322
2014,220,서해대학,전문대학,사립,전북,C그룹,916,266,3,2,5,916,1402,0.699999988079071
2014,221,선교청대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,0,0.0
2014,222,선린대학교,전문대학,사립,경북,C그룹,1140,410,5,10,15,1140,2717,0.4000000059604645
2014,223,선문대학교,대학,사립,충남,B그룹,13118,1638,31,205,236,13118,10887,1.2000000476837158
2014,224,선학유피대학원대학교,대학원대학,사립,경기,-,1657,69,3,9,12,1657,61,27.200000762939453
2014,225,성결대학교,대학,사립,경기,B그룹,13168,1181,30,105,135,13168,6168,2.0999999046325684
2014,226,성공회대학교,대학,사립,서울,C그룹,4384,616,12,46,58,4384,2594,1.7000000476837158
2014,227,성균관대학교,대학,사립,서울,A그룹,43318,7955,131,712,843,43318,27048,1.600000023841858
2014,228,성산효대학원대학교,대학원대학,사립,인천,-,213,24,2,4,6,213,208,1.0
2014,229,성서침례대학원대학교,대학원대학,사립,경기,-,528,120,1,2,3,528,51,10.399999618530272
2014,230,성신여자대학교,대학,사립,서울,A그룹,9763,2362,35,129,164,9763,11238,0.8999999761581421
2014,231,성운대학교,전문대학,사립,경북,C그룹,604,160,1,8,9,604,1339,0.5
2014,232,성화대학,전문대학,사립,전남,B그룹,0,0,0,0,0,0,0,0.0
2014,233,세경대학교,전문대학,사립,강원,C그룹,518,174,2,4,6,518,1015,0.5
2014,234,세계사이버대학,기타,기타,경기,-,0,0,0,0,0,0,1854,0.0
2014,235,세명대학교,대학,사립,충북,B그룹,11570,1360,18,135,153,11570,8866,1.2999999523162842
2014,236,세종대학교,대학,사립,서울,A그룹,17313,3425,33,356,389,17313,13590,1.2999999523162842
2014,237,세한대학교,대학,사립,충남,C그룹,6275,1290,8,52,60,6275,4556,1.399999976158142
2014,238,송곡대학교,전문대학,사립,강원,C그룹,293,80,1,2,3,293,646,0.5
2014,239,송원대학교,대학,사립,광주,C그룹,3084,463,7,18,25,3084,2066,1.5
2014,240,송호대학교,전문대학,사립,강원,C그룹,480,156,5,23,28,480,1007,0.5
2014,241,수도국제대학원대학교,대학원대학,사립,서울,-,246,56,2,8,10,246,321,0.800000011920929
2014,242,수성대학교,전문대학,사립,대구,B그룹,2515,569,7,29,36,2515,3899,0.6000000238418579
2014,243,수원가톨릭대학교,대학,사립,경기,C그룹,2898,161,5,10,15,2898,188,15.399999618530272
2014,244,수원과학대학교,전문대학,사립,경기,B그룹,4791,919,6,64,70,4791,6544,0.699999988079071
2014,245,수원대학교,대학,사립,경기,B그룹,17762,3000,30,50,80,17762,12037,1.5
2014,246,수원여자대학교,전문대학,사립,경기,B그룹,1964,345,12,41,53,1964,4489,0.4000000059604645
2014,247,숙명여자대학교,대학,사립,서울,A그룹,16740,3086,57,254,311,16740,13141,1.2999999523162842
2014,248,순복음대학원대학교,대학원대학,사립,서울,-,214,52,2,1,3,214,136,1.600000023841858
2014,249,순복음총회신학교,대학,사립,충북,C그룹,0,0,0,0,0,0,0,0.0
2014,250,순천제일대학교,전문대학,사립,전남,B그룹,3225,540,3,2,5,3225,2497,1.2999999523162842
2014,251,순천향대학교,대학,사립,충남,A그룹,12939,1908,40,149,189,12939,12387,1.0
2014,252,숭실대학교,대학,사립,서울,A그룹,11576,2597,35,95,130,11576,15913,0.699999988079071
2014,253,숭실사이버대학교,대학,사립,서울,B그룹,0,0,0,0,0,0,4777,0.0
2014,254,숭의여자대학교,전문대학,사립,서울,B그룹,1249,303,9,25,34,1249,3710,0.3000000119209289
2014,255,신경주대학교,대학,사립,경북,C그룹,3409,600,8,36,44,3409,2706,1.2999999523162842
2014,256,신구대학교,전문대학,사립,경기,A그룹,7676,1558,8,68,76,7676,6790,1.100000023841858
2014,257,신라대학교,대학,사립,부산,B그룹,8110,2001,25,170,195,8110,10788,0.800000011920929
2014,258,신성대학교,전문대학,사립,충남,B그룹,4042,1097,8,42,50,4042,4188,1.0
