YR,ID,SNM,STYP,FND,RGN,USC,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS
2016,79,국립창원대학교,대학,국립,경남,B그룹,10088,8648,1440,333,568,250,2415,13654,49,748428,5953,487,252,234,610,7536,46233,5179,4535,2982,7547,66476,0,0,2400,1200,720,94,37,514,64,30,900,51412,10088,5.099999904632568,748428,10088,74.19999694824219
2016,80,국립한국교통대학교,대학,국립,충북,B그룹,9302,8676,626,316,377,215,150,10360,53,238924,5220,204,164,108,58,5754,39618,1975,2377,2031,414,46415,0,0,405,925,30,57,2,57,2,10,450,41593,9302,4.5,238924,9302,25.700000762939453
2016,81,국립한국해양대학교,대학,국립,부산,B그룹,7840,6896,944,271,444,257,23,8835,36,524371,4034,253,171,217,23,4698,28845,2478,2809,2635,680,37447,0,0,609,587,183,115,57,361,53,6,119,31323,7840,4.0,524371,7840,66.9000015258789
2016,82,국립한밭대학교,대학,국립,대전,B그룹,8965,8458,507,261,482,193,636,10537,26,405650,4435,419,204,247,10,5315,28213,3938,3584,3155,3507,42397,0,0,5439,1926,326,16,61,77,10,7,323,32151,8965,3.5999999046325684,405650,8965,45.20000076293945
2016,83,국민대학교,대학,사립,서울,A그룹,18182,15162,3020,652,1140,471,2360,22805,85,1014039,15093,2880,717,510,420,19620,91267,20261,9775,4258,61709,187270,0,0,1215,972,486,215,454,670,359,42,1130,111528,18182,6.099999904632568,1014039,18182,55.79999923706055
2016,84,국방대학교,기타,기타,충남,-,0,0,0,0,0,0,2090,2090,0,43000,0,399,141,172,376,1088,0,13241,2266,5076,10106,30689,0,0,15461,8935,0,21,2,9,1,8,700,13241,0,0.0,43000,0,0.0
2016,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,267,0,267,16,13,19,267,582,4,337,0,30,10,5,10,55,0,266,10,5,10,291,0,0,17,30,10,10,10,5,5,1,1,266,267,1.0,337,267,1.2999999523162842
2016,86,국제대학교,전문대학,사립,경기,B그룹,4289,4289,0,113,308,53,29,4792,22,24441,490,0,27,35,2,554,1705,0,528,396,4471,7100,0,0,430,9,1,0,0,0,0,19,882,1705,4289,0.4000000059604645,24441,4289,5.699999809265137
2016,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,1,1,0,5,0,2,2,1,0,5,0,5,3,0,2,10,0,0,2,0,0,0,0,0,0,0,0,5,0,0.0,5,0,0.0
2016,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,88,0,88,5,0,0,0,93,2,86,0,86,3,1,0,90,0,821,10,2,0,833,0,0,0,0,0,0,0,0,0,0,0,821,88,9.300000190734863,86,88,1.0
2016,89,국제사이버대학교,대학,사립,경기,C그룹,2764,2764,0,16,108,31,1100,4019,4,430,420,0,5,5,0,430,475,0,5,5,0,485,0,0,0,0,0,0,0,0,0,1,30,475,2764,0.2000000029802322,430,2764,0.2000000029802322
2016,90,국제언어대학원대학교,대학원대학,사립,서울,-,82,0,82,7,7,12,143,251,2,143,0,82,7,9,50,148,0,3058,260,38,35,3391,0,0,250,25,45,0,0,0,0,15,750,3058,82,37.29999923706055,143,82,1.7000000476837158
2016,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,2400,12,0,4,0,0,16,12,0,21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0,2400,0,0.0
