YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS
2015,118,대구예술대학교,대학,사립,경북,C그룹,534,66,2,19,21,534,1476,0.4000000059604645
2015,119,대구외국어대학교,대학,사립,경북,C그룹,503,168,2,2,4,503,345,1.5
2015,120,대구한의대학교,대학,사립,경북,B그룹,6027,1226,20,72,92,6027,7550,0.800000011920929
2015,121,대덕대학교,전문대학,사립,대전,C그룹,1398,349,7,41,48,1398,4357,0.3000000119209289
2015,122,대동대학교,전문대학,사립,부산,C그룹,1010,293,2,34,36,1010,1694,0.6000000238418579
2015,123,대림대학교,전문대학,사립,경기,A그룹,2598,456,16,59,75,2598,6685,0.4000000059604645
2015,124,대신대학교,대학,사립,경북,C그룹,1136,252,4,8,12,1136,504,2.299999952316284
2015,125,대원대학교,전문대학,사립,충북,C그룹,1154,406,4,26,30,1154,2807,0.4000000059604645
2015,126,대전가톨릭대학교,대학,사립,세종,C그룹,1900,385,8,16,24,1900,122,15.600000381469728
2015,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12477,1591,21,75,96,12477,4707,2.700000047683716
2015,128,대전대학교,대학,사립,대전,B그룹,15210,1769,24,146,170,15210,10801,1.399999976158142
2015,129,대전보건대학교,전문대학,사립,대전,A그룹,2520,660,13,54,67,2520,5929,0.4000000059604645
2015,130,대전신학대학교,대학,사립,대전,C그룹,1991,213,5,12,17,1991,296,6.699999809265137
2015,131,대진대학교,대학,사립,경기,B그룹,13994,1461,17,45,62,13994,8458,1.7000000476837158
2015,132,대한신학대학원대학교,대학원대학,사립,경기,-,204,45,1,3,4,204,186,1.100000023841858
2015,133,덕성여자대학교,대학,사립,서울,B그룹,11122,1915,36,113,149,11122,6524,1.7000000476837158
2015,134,동강대학교,전문대학,사립,광주,B그룹,4242,1268,7,27,34,4242,3418,1.2000000476837158
2015,135,동국대학교,대학,사립,서울,A그룹,16713,2821,44,116,160,16713,17699,0.8999999761581421
2015,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,13078,1649,24,62,86,13078,8977,1.5
2015,137,동남보건대학교,전문대학,사립,경기,A그룹,4599,1044,10,57,67,4599,4973,0.8999999761581421
2015,138,동덕여자대학교,대학,사립,서울,B그룹,6427,1031,36,89,125,6427,8324,0.800000011920929
2015,139,동명대학교,대학,사립,부산,B그룹,10169,1407,24,58,82,10169,9374,1.100000023841858
2015,140,동방문화대학원대학교,대학원대학,사립,서울,-,269,30,2,5,7,269,212,1.2999999523162842
